# Species	Genes	Alg.-Conn.	Arkhipov1_protein.faa	Arkhipov2_protein.faa	Arkhipov3_protein.faa	Arkhipov4_protein.faa	Arkhipov5_protein.faa
3	3	0.742	*	XP_013437088.1	XP_013246761.1	XP_013338227.1	*
2	2	1	*	XP_013436171.1	*	XP_013338226.1	*
3	3	0.383	*	XP_013436613.1	XP_013249979.1	XP_013338214.1	*
3	3	0.884	*	XP_013437740.1	XP_013247140.1	XP_013338211.1	*
3	3	0.666	*	XP_013437620.1	XP_013247492.1	XP_013338199.1	*
3	3	0.933	*	XP_013436791.1	XP_013247476.1	XP_013338189.1	*
3	3	0.852	*	XP_013438528.1	XP_013252920.1	XP_013338551.1	*
2	2	1	*	XP_013439677.1	XP_013246510.1	*	*
2	2	1	*	XP_013434056.1	XP_013246499.1	*	*
2	2	1	*	XP_013439506.1	*	XP_013338621.1	*
3	3	0.438	*	XP_013440581.1	XP_013247166.1	XP_013338602.1	*
2	2	1	*	XP_013440300.1	*	XP_013338595.1	*
3	3	0.934	*	XP_013440260.1	XP_013252774.1	XP_013338590.1	*
2	2	1	*	XP_013432699.1	*	XP_013338585.1	*
2	2	1	*	XP_013433362.1	*	XP_013338560.1	*
3	3	0.353	*	XP_013436788.1	XP_013249167.1	XP_013338185.1	*
3	3	0.588	*	XP_013438454.1	XP_013251001.1	XP_013338516.1	*
3	3	0.818	*	XP_013437099.1	XP_013247425.1	XP_013338477.1	*
3	3	0.387	*	XP_013435164.1	XP_013249386.1	XP_013338451.1	*
3	3	0.706	*	XP_013435754.1	XP_013246577.1	XP_013338448.1	*
3	3	0.792	*	XP_013439486.1	XP_013251760.1	XP_013338431.1	*
3	3	0.527	*	XP_013437312.1	XP_013252436.1	XP_013338429.1	*
3	3	0.533	*	XP_013432589.1	XP_013249597.1	XP_013338425.1	*
3	3	0.802	*	XP_013433182.1	XP_013249004.1	XP_013338420.1	*
3	3	0.827	*	XP_013438385.1	XP_013249825.1	XP_013337897.1	*
2	2	1	*	XP_013438316.1	*	XP_013337986.1	*
3	3	0.841	*	XP_013435798.1	XP_013247296.1	XP_013337957.1	*
3	3	0.87	*	XP_013438582.1	XP_013249924.1	XP_013337919.1	*
3	3	0.564	*	XP_013437638.1	XP_013249923.1	XP_013337917.1	*
3	3	0.734	*	XP_013438313.1	XP_013249920.1	XP_013337914.1	*
3	3	0.896	*	XP_013437787.1	XP_013249919.1	XP_013337911.1	*
2	2	1	*	XP_013437790.1	*	XP_013337909.1	*
3	3	0.907	*	XP_013435012.1	XP_013248800.1	XP_013337904.1	*
3	3	0.72	*	XP_013438705.1	XP_013251924.1	XP_013337990.1	*
3	3	0.941	*	XP_013437869.1	XP_013249821.1	XP_013337893.1	*
2	2	1	*	XP_013434762.1	*	XP_013337867.1	*
3	3	0.658	*	XP_013436869.1	XP_013252557.1	XP_013337852.1	*
2	2	1	*	XP_013435195.1	*	XP_013337837.1	*
2	2	1	*	XP_013435065.1	*	XP_013337826.1	*
2	2	1	*	XP_013440369.1	*	XP_013337816.1	*
2	2	1	*	XP_013438188.1	*	XP_013337795.1	*
3	3	0.9	*	XP_013432960.1	XP_013247039.1	XP_013337769.1	*
3	3	0.313	*	XP_013440586.1	XP_013247410.1	XP_013338040.1	*
2	2	1	*	XP_013434181.1	*	XP_013338162.1	*
3	3	0.882	*	XP_013434173.1	XP_013253082.1	XP_013338158.1	*
3	3	0.856	*	XP_013433532.1	XP_013251714.1	XP_013338145.1	*
3	3	0.685	*	XP_013440255.1	XP_013249002.1	XP_013338138.1	*
3	3	0.578	*	XP_013438625.1	XP_013249560.1	XP_013338132.1	*
2	2	1	*	XP_013435656.1	*	XP_013338116.1	*
3	3	0.848	*	XP_013440701.1	XP_013251893.1	XP_013338074.1	*
2	2	1	*	XP_013436143.1	*	XP_013338059.1	*
2	2	1	*	XP_013433759.1	*	XP_013336913.1	*
3	3	0.654	*	XP_013436692.1	XP_013249246.1	XP_013338036.1	*
3	3	0.562	*	XP_013437129.1	XP_013250893.1	XP_013338035.1	*
3	3	0.836	*	XP_013437127.1	XP_013250895.1	XP_013338033.1	*
3	3	0.691	*	XP_013437126.1	XP_013250896.1	XP_013338032.1	*
2	2	1	*	XP_013433303.1	*	XP_013338027.1	*
3	3	0.873	*	XP_013437206.1	XP_013250195.1	XP_013338002.1	*
2	2	1	*	XP_013437202.1	*	XP_013337999.1	*
2	2	1	*	XP_013438688.1	*	XP_013335520.1	*
3	3	0.86	*	XP_013434053.1	XP_013253025.1	XP_013335595.1	*
3	3	0.576	*	XP_013434052.1	XP_013253024.1	XP_013335594.1	*
3	3	0.758	*	XP_013436393.1	XP_013252474.1	XP_013335584.1	*
3	3	0.61	*	XP_013440425.1	XP_013246587.1	XP_013335580.1	*
3	3	0.782	*	XP_013433737.1	XP_013251959.1	XP_013335574.1	*
3	3	0.644	*	XP_013432902.1	XP_013250925.1	XP_013335568.1	*
3	3	0.583	*	XP_013438645.1	XP_013247794.1	XP_013335559.1	*
2	2	1	*	XP_013440582.1	*	XP_013335535.1	*
3	3	0.941	*	XP_013434873.1	XP_013250576.1	XP_013335598.1	*
3	3	0.689	*	XP_013434328.1	XP_013248766.1	XP_013335507.1	*
3	3	0.68	*	XP_013434382.1	XP_013247830.1	XP_013335504.1	*
2	2	1	*	XP_013432701.1	*	XP_013335500.1	*
3	3	0.885	*	XP_013440700.1	XP_013251891.1	XP_013335486.1	*
3	3	0.734	*	XP_013433716.1	XP_013252972.1	XP_013335458.1	*
3	3	0.883	*	XP_013435379.1	XP_013246932.1	XP_013335456.1	*
3	3	0.791	*	XP_013433893.1	XP_013251371.1	XP_013335455.1	*
3	3	0.539	*	XP_013433899.1	XP_013251365.1	XP_013335450.1	*
2	2	1	*	XP_013434445.1	*	XP_013335730.1	*
2	2	1	*	XP_013434304.1	*	XP_013335904.1	*
2	2	1	*	XP_013436238.1	*	XP_013335892.1	*
3	3	0.961	*	XP_013434691.1	XP_013249850.1	XP_013335825.1	*
3	3	0.684	*	XP_013436812.1	XP_013248086.1	XP_013335815.1	*
3	3	0.825	*	XP_013434218.1	XP_013249087.1	XP_013335813.1	*
3	3	0.468	*	XP_013439275.1	XP_013248819.1	XP_013335812.1	*
3	3	0.878	*	XP_013435668.1	XP_013249527.1	XP_013335804.1	*
3	3	0.656	*	XP_013434489.1	XP_013247634.1	XP_013335784.1	*
2	2	1	*	XP_013438800.1	*	XP_013335439.1	*
3	3	0.173	*	XP_013439816.1	XP_013249974.1	XP_013335716.1	*
3	3	0.505	*	XP_013438058.1	XP_013249420.1	XP_013335710.1	*
2	2	1	*	XP_013440082.1	*	XP_013335691.1	*
3	3	0.73	*	XP_013435871.1	XP_013246553.1	XP_013335644.1	*
2	2	1	*	XP_013432999.1	*	XP_013335636.1	*
3	3	0.921	*	XP_013433001.1	XP_013249451.1	XP_013335634.1	*
3	3	0.832	*	XP_013437553.1	XP_013251199.1	XP_013335619.1	*
2	2	1	*	XP_013438627.1	*	XP_013335613.1	*
3	3	0.978	*	XP_013436063.1	XP_013251949.1	XP_013335202.1	*
3	3	0.676	*	XP_013439252.1	XP_013250239.1	XP_013335263.1	*
3	3	0.764	*	XP_013439253.1	XP_013250238.1	XP_013335262.1	*
3	3	0.601	*	XP_013439255.1	XP_013250236.1	XP_013335259.1	*
2	2	1	*	XP_013433144.1	*	XP_013335257.1	*
3	3	0.64	*	XP_013434015.1	XP_013250968.1	XP_013335255.1	*
2	2	1	*	XP_013439159.1	*	XP_013335244.1	*
2	2	1	*	XP_013432813.1	*	XP_013335232.1	*
2	2	1	*	XP_013435133.1	*	XP_013335231.1	*
2	2	1	*	XP_013439384.1	*	XP_013335294.1	*
2	2	1	*	XP_013438666.1	*	XP_013335173.1	*
2	2	1	*	XP_013436150.1	*	XP_013335166.1	*
3	3	0.785	*	XP_013436799.1	XP_013249686.1	XP_013335159.1	*
3	3	0.499	*	XP_013434226.1	XP_013252126.1	XP_013335146.1	*
3	3	0.644	*	XP_013433711.1	XP_013250906.1	XP_013335143.1	*
3	3	0.919	*	XP_013437521.1	XP_013253199.1	XP_013335090.1	*
2	2	1	*	XP_013439258.1	*	XP_013335073.1	*
3	3	0.664	*	XP_013435843.1	XP_013251315.1	XP_013335071.1	*
3	3	0.75	*	XP_013437560.1	XP_013246988.1	XP_013335388.1	*
3	3	0.59	*	XP_013432486.1	XP_013252700.1	XP_013335429.1	*
3	3	0.616	*	XP_013432487.1	XP_013252701.1	XP_013335428.1	*
3	3	0.725	*	XP_013432489.1	XP_013252703.1	XP_013335427.1	*
3	3	0.753	*	XP_013432490.1	XP_013252705.1	XP_013335426.1	*
2	2	1	*	XP_013440795.1	*	XP_013335401.1	*
2	2	1	*	XP_013433485.1	*	XP_013335400.1	*
3	3	0.718	*	XP_013433486.1	XP_013251900.1	XP_013335399.1	*
3	3	0.612	*	XP_013439980.1	XP_013249328.1	XP_013335395.1	*
2	2	1	*	XP_013432508.1	*	XP_013335953.1	*
3	3	0.552	*	XP_013432702.1	XP_013250808.1	XP_013335361.1	*
3	3	0.879	*	XP_013433422.1	XP_013246505.1	XP_013335359.1	*
3	3	0.799	*	XP_013435103.1	XP_013251176.1	XP_013335355.1	*
3	3	0.909	*	XP_013435378.1	XP_013247552.1	XP_013335342.1	*
3	3	0.431	*	XP_013436909.1	XP_013247751.1	XP_013335341.1	*
3	3	0.812	*	XP_013439654.1	XP_013250176.1	XP_013335297.1	*
3	3	0.653	*	XP_013437198.1	XP_013252432.1	XP_013335296.1	*
2	2	1	*	XP_013438025.1	*	XP_013336486.1	*
3	3	0.424	*	XP_013438810.1	XP_013251569.1	XP_013336644.1	*
3	3	0.96	*	XP_013433020.1	XP_013247201.1	XP_013336641.1	*
3	3	0.844	*	XP_013435592.1	XP_013248651.1	XP_013336629.1	*
3	3	0.365	*	XP_013435591.1	XP_013248650.1	XP_013336628.1	*
3	3	0.596	*	XP_013438584.1	XP_013248193.1	XP_013336571.1	*
3	3	0.688	*	XP_013438511.1	XP_013252517.1	XP_013336560.1	*
3	3	0.719	*	XP_013433156.1	XP_013246897.1	XP_013336543.1	*
3	3	0.817	*	XP_013437392.1	XP_013253209.1	XP_013336542.1	*
3	3	0.86	*	XP_013440178.1	XP_013252209.1	XP_013336691.1	*
3	3	0.692	*	XP_013433521.1	XP_013247277.1	XP_013336470.1	*
3	3	0.913	*	XP_013435631.1	XP_013251479.1	XP_013336427.1	*
3	3	0.989	*	XP_013441032.1	XP_013249195.1	XP_013336414.1	*
3	3	0.59	*	XP_013441028.1	XP_013249713.1	XP_013336410.1	*
3	3	0.91	*	XP_013433794.1	XP_013249969.1	XP_013336395.1	*
3	3	0.854	*	XP_013439641.1	XP_013250571.1	XP_013336381.1	*
3	3	0.385	*	XP_013440683.1	XP_013252373.1	XP_013336374.1	*
2	2	1	*	XP_013434400.1	*	XP_013336320.1	*
2	2	1	*	XP_013433189.1	*	XP_013336792.1	*
3	3	0.926	*	XP_013433760.1	XP_013246969.1	XP_013336912.1	*
2	2	1	*	XP_013433053.1	*	XP_013336887.1	*
3	3	0.881	*	XP_013440591.1	XP_013246568.1	XP_013336862.1	*
3	3	0.972	*	XP_013440592.1	XP_013246569.1	XP_013336861.1	*
2	2	1	*	XP_013438572.1	*	XP_013336856.1	*
2	2	1	*	XP_013434666.1	*	XP_013336831.1	*
3	3	0.859	*	XP_013439672.1	XP_013249069.1	XP_013336807.1	*
3	3	0.864	*	XP_013436181.1	XP_013251090.1	XP_013336797.1	*
3	3	0.518	*	XP_013434483.1	XP_013252859.1	XP_013336316.1	*
3	3	0.976	*	XP_013436997.1	XP_013247789.1	XP_013336786.1	*
3	3	0.441	*	XP_013436995.1	XP_013247787.1	XP_013336784.1	*
2	2	1	*	XP_013434420.1	*	XP_013336777.1	*
3	3	0.917	*	XP_013436206.1	XP_013250023.1	XP_013336759.1	*
2	2	1	*	XP_013439731.1	*	XP_013336740.1	*
3	3	0.921	*	XP_013438009.1	XP_013251848.1	XP_013336732.1	*
3	3	0.855	*	XP_013435179.1	XP_013249175.1	XP_013336716.1	*
3	3	0.974	*	XP_013435845.1	XP_013249442.1	XP_013336713.1	*
2	2	1	*	XP_013437576.1	*	XP_013336058.1	*
3	3	0.897	*	XP_013437482.1	XP_013248788.1	XP_013336147.1	*
2	2	1	*	XP_013435826.1	*	XP_013336087.1	*
3	3	0.643	*	XP_013440448.1	XP_013251533.1	XP_013336078.1	*
3	3	0.611	*	XP_013440449.1	XP_013251532.1	XP_013336077.1	*
2	2	1	*	XP_013435268.1	*	XP_013336074.1	*
3	3	0.76	*	XP_013439249.1	XP_013253223.1	XP_013336071.1	*
3	3	0.837	*	XP_013439248.1	XP_013253224.1	XP_013336070.1	*
3	3	0.805	*	XP_013439247.1	XP_013253225.1	XP_013336069.1	*
2	2	1	*	XP_013437153.1	*	XP_013336168.1	*
3	3	0.81	*	XP_013433968.1	XP_013252245.1	XP_013336055.1	*
3	3	0.773	*	XP_013433977.1	XP_013250414.1	XP_013336045.1	*
2	2	1	*	XP_013435905.1	*	XP_013336040.1	*
3	3	0.894	*	XP_013436939.1	XP_013251360.1	XP_013336000.1	*
2	2	1	*	XP_013433800.1	*	XP_013335977.1	*
3	3	0.857	*	XP_013433802.1	XP_013248452.1	XP_013335976.1	*
3	3	0.482	*	XP_013436867.1	XP_013248957.1	XP_013335968.1	*
2	2	1	*	XP_013433876.1	*	XP_013335962.1	*
3	3	0.897	*	XP_013438548.1	XP_013251546.1	XP_013336218.1	*
2	2	1	*	XP_013433312.1	*	XP_013336311.1	*
3	3	0.826	*	XP_013435141.1	XP_013247130.1	XP_013336308.1	*
3	3	0.848	*	XP_013437772.1	XP_013248587.1	XP_013336304.1	*
3	3	0.892	*	XP_013440853.1	XP_013247767.1	XP_013336300.1	*
3	3	0.58	*	XP_013438389.1	XP_013246642.1	XP_013336278.1	*
3	3	0.907	*	XP_013439524.1	XP_013252086.1	XP_013336249.1	*
3	3	0.683	*	XP_013437442.1	XP_013246506.1	XP_013336244.1	*
3	3	0.743	*	XP_013433951.1	XP_013252045.1	XP_013336236.1	*
2	2	1	*	XP_013437503.1	XP_013246512.1	*	*
2	2	1	*	XP_013438547.1	*	XP_013336217.1	*
2	2	1	*	XP_013433163.1	*	XP_013336214.1	*
2	2	1	*	XP_013435724.1	*	XP_013336211.1	*
2	2	1	*	XP_013440195.1	*	XP_013336210.1	*
3	3	0.606	*	XP_013433835.1	XP_013251639.1	XP_013336182.1	*
3	3	0.765	*	XP_013439418.1	XP_013251782.1	XP_013336174.1	*
3	3	0.773	*	XP_013434568.1	XP_013248707.1	XP_013336171.1	*
2	2	1	*	XP_013434708.1	XP_013249537.1	*	*
2	2	1	*	XP_013435676.1	XP_013249584.1	*	*
2	2	1	*	XP_013434095.1	XP_013249582.1	*	*
2	2	1	*	XP_013437726.1	XP_013249572.1	*	*
2	2	1	*	XP_013438378.1	XP_013249566.1	*	*
2	2	1	*	XP_013440291.1	XP_013249563.1	*	*
2	2	1	*	XP_013440293.1	XP_013249562.1	*	*
2	2	1	*	XP_013441082.1	XP_013249553.1	*	*
2	2	1	*	XP_013438102.1	XP_013249545.1	*	*
2	2	1	*	XP_013438905.1	XP_013249593.1	*	*
2	2	1	*	XP_013434194.1	XP_013249521.1	*	*
2	2	1	*	XP_013436924.1	XP_013249510.1	*	*
2	2	1	*	XP_013435787.1	XP_013249482.1	*	*
2	2	1	*	XP_013437959.1	XP_013249444.1	*	*
2	2	1	*	XP_013436999.1	XP_013249437.1	*	*
2	2	1	*	XP_013440368.1	XP_013249418.1	*	*
2	2	1	*	XP_013433741.1	XP_013249409.1	*	*
2	2	1	*	XP_013432984.1	XP_013249405.1	*	*
2	2	1	*	XP_013433707.1	XP_013249702.1	*	*
2	2	1	*	XP_013439782.1	XP_013249840.1	*	*
2	2	1	*	XP_013440970.1	XP_013249789.1	*	*
2	2	1	*	XP_013433132.1	XP_013249786.1	*	*
2	2	1	*	XP_013432951.1	XP_013249751.1	*	*
2	2	1	*	XP_013438074.1	XP_013249730.1	*	*
2	2	1	*	XP_013439904.1	XP_013249728.1	*	*
2	2	1	*	XP_013433587.1	XP_013249724.1	*	*
2	2	1	*	XP_013437629.1	XP_013249720.1	*	*
2	2	1	*	XP_013437753.1	XP_013249393.1	*	*
2	2	1	*	XP_013435249.1	XP_013249701.1	*	*
2	2	1	*	XP_013438850.1	XP_013249695.1	*	*
2	2	1	*	XP_013441038.1	XP_013249693.1	*	*
2	2	1	*	XP_013436798.1	XP_013249685.1	*	*
2	2	1	*	XP_013439170.1	XP_013249641.1	*	*
2	2	1	*	XP_013436733.1	XP_013249639.1	*	*
2	2	1	*	XP_013434880.1	XP_013249627.1	*	*
2	2	1	*	XP_013432587.1	XP_013249599.1	*	*
2	2	1	*	XP_013438680.1	XP_013249068.1	*	*
2	2	1	*	XP_013435920.1	XP_013249139.1	*	*
2	2	1	*	XP_013435909.1	XP_013249132.1	*	*
2	2	1	*	XP_013440289.1	XP_013249125.1	*	*
2	2	1	*	XP_013434521.1	XP_013249120.1	*	*
2	2	1	*	XP_013437508.1	XP_013249111.1	*	*
2	2	1	*	XP_013436658.1	XP_013249106.1	*	*
2	2	1	*	XP_013437500.1	XP_013249094.1	*	*
2	2	1	*	XP_013432565.1	XP_013249093.1	*	*
2	2	1	*	XP_013433843.1	XP_013249144.1	*	*
2	2	1	*	XP_013438208.1	XP_013249066.1	*	*
2	2	1	*	XP_013434063.1	XP_013249062.1	*	*
2	2	1	*	XP_013438774.1	XP_013249049.1	*	*
2	2	1	*	XP_013435261.1	XP_013249029.1	*	*
2	2	1	*	XP_013441079.1	XP_013249005.1	*	*
2	2	1	*	XP_013434344.1	XP_013248987.1	*	*
2	2	1	*	XP_013433519.1	XP_013248965.1	*	*
2	2	1	*	XP_013435904.1	XP_013248901.1	*	*
2	2	1	*	XP_013433582.1	XP_013249267.1	*	*
2	2	1	*	XP_013440830.1	XP_013249372.1	*	*
2	2	1	*	XP_013440831.1	XP_013249370.1	*	*
2	2	1	*	XP_013436125.1	XP_013249349.1	*	*
2	2	1	*	XP_013439470.1	XP_013249347.1	*	*
2	2	1	*	XP_013439469.1	XP_013249346.1	*	*
2	2	1	*	XP_013432938.1	XP_013249341.1	*	*
2	2	1	*	XP_013440437.1	XP_013249302.1	*	*
2	2	1	*	XP_013438687.1	XP_013249269.1	*	*
2	2	1	*	XP_013434695.1	XP_013249853.1	*	*
2	2	1	*	XP_013433583.1	XP_013249266.1	*	*
2	2	1	*	XP_013437385.1	XP_013249249.1	*	*
2	2	1	*	XP_013436691.1	XP_013249245.1	*	*
2	2	1	*	XP_013433258.1	XP_013249234.1	*	*
2	2	1	*	XP_013435957.1	XP_013249224.1	*	*
2	2	1	*	XP_013434725.1	XP_013249213.1	*	*
2	2	1	*	XP_013434742.1	XP_013249190.1	*	*
2	2	1	*	XP_013434614.1	XP_013249164.1	*	*
2	2	1	*	XP_013439272.1	XP_013250546.1	*	*
2	2	1	*	XP_013435107.1	XP_013250663.1	*	*
2	2	1	*	XP_013439068.1	XP_013250657.1	*	*
2	2	1	*	XP_013439066.1	XP_013250656.1	*	*
2	2	1	*	XP_013433113.1	XP_013250634.1	*	*
2	2	1	*	XP_013438194.1	XP_013250584.1	*	*
2	2	1	*	XP_013434799.1	XP_013250581.1	*	*
2	2	1	*	XP_013433920.1	XP_013250558.1	*	*
2	2	1	*	XP_013439273.1	XP_013250547.1	*	*
2	2	1	*	XP_013433220.1	XP_013250677.1	*	*
2	2	1	*	XP_013436955.1	XP_013250537.1	*	*
2	2	1	*	XP_013437589.1	XP_013250522.1	*	*
2	2	1	*	XP_013435777.1	XP_013250520.1	*	*
2	2	1	*	XP_013438442.1	XP_013250517.1	*	*
2	2	1	*	XP_013433964.1	XP_013250509.1	*	*
2	2	1	*	XP_013434426.1	XP_013250506.1	*	*
2	2	1	*	XP_013440611.1	XP_013250502.1	*	*
2	2	1	*	XP_013439499.1	XP_013250467.1	*	*
2	2	1	*	XP_013436535.1	XP_013250762.1	*	*
2	2	1	*	XP_013433780.1	XP_013250821.1	*	*
2	2	1	*	XP_013433785.1	XP_013250818.1	*	*
2	2	1	*	XP_013436570.1	XP_013250813.1	*	*
2	2	1	*	XP_013437369.1	XP_013250811.1	*	*
2	2	1	*	XP_013437367.1	XP_013250809.1	*	*
2	2	1	*	XP_013434854.1	XP_013250797.1	*	*
2	2	1	*	XP_013434937.1	XP_013250789.1	*	*
2	2	1	*	XP_013434471.1	XP_013250786.1	*	*
2	2	1	*	XP_013436661.1	XP_013250455.1	*	*
2	2	1	*	XP_013437999.1	XP_013250759.1	*	*
2	2	1	*	XP_013438137.1	XP_013250753.1	*	*
2	2	1	*	XP_013440351.1	XP_013250734.1	*	*
2	2	1	*	XP_013440344.1	XP_013250731.1	*	*
2	2	1	*	XP_013433692.1	XP_013250729.1	*	*
2	2	1	*	XP_013436914.1	XP_013250714.1	*	*
2	2	1	*	XP_013435404.1	XP_013250711.1	*	*
2	2	1	*	XP_013433221.1	XP_013250678.1	*	*
2	2	1	*	XP_013440487.1	XP_013249997.1	*	*
2	2	1	*	XP_013433831.1	XP_013250234.1	*	*
2	2	1	*	XP_013436303.1	XP_013250231.1	*	*
2	2	1	*	XP_013436589.1	XP_013250126.1	*	*
2	2	1	*	XP_013439734.1	XP_013250089.1	*	*
2	2	1	*	XP_013433549.1	XP_013250071.1	*	*
2	2	1	*	XP_013437403.1	XP_013250034.1	*	*
2	2	1	*	XP_013435338.1	XP_013250032.1	*	*
2	2	1	*	XP_013436591.1	XP_013250009.1	*	*
2	2	1	*	XP_013438608.1	XP_013250259.1	*	*
2	2	1	*	XP_013432601.1	XP_013249988.1	*	*
2	2	1	*	XP_013434611.1	XP_013249983.1	*	*
2	2	1	*	XP_013434612.1	XP_013249982.1	*	*
2	2	1	*	XP_013439814.1	XP_013249973.1	*	*
2	2	1	*	XP_013434932.1	XP_013249958.1	*	*
2	2	1	*	XP_013436820.1	XP_013249875.1	*	*
2	2	1	*	XP_013439050.1	XP_013249871.1	*	*
2	2	1	*	XP_013434915.1	XP_013249867.1	*	*
2	2	1	*	XP_013436816.1	XP_013250397.1	*	*
2	2	1	*	XP_013436660.1	XP_013250454.1	*	*
2	2	1	*	XP_013437412.1	XP_013250451.1	*	*
2	2	1	*	XP_013435985.1	XP_013250438.1	*	*
2	2	1	*	XP_013435983.1	XP_013250437.1	*	*
2	2	1	*	XP_013436430.1	XP_013250436.1	*	*
2	2	1	*	XP_013435093.1	XP_013250401.1	*	*
2	2	1	*	XP_013435094.1	XP_013250400.1	*	*
2	2	1	*	XP_013439591.1	XP_013250399.1	*	*
2	2	1	*	XP_013433385.1	XP_013248899.1	*	*
2	2	1	*	XP_013437659.1	XP_013250356.1	*	*
2	2	1	*	XP_013439013.1	XP_013250344.1	*	*
2	2	1	*	XP_013438934.1	XP_013250323.1	*	*
2	2	1	*	XP_013436127.1	XP_013250303.1	*	*
2	2	1	*	XP_013440465.1	XP_013250297.1	*	*
2	2	1	*	XP_013433648.1	XP_013250278.1	*	*
2	2	1	*	XP_013439718.1	XP_013250264.1	*	*
2	2	1	*	XP_013433007.1	XP_013247019.1	*	*
2	2	1	*	XP_013434170.1	XP_013247151.1	*	*
2	2	1	*	XP_013436413.1	XP_013247145.1	*	*
2	2	1	*	XP_013438809.1	XP_013247127.1	*	*
2	2	1	*	XP_013438808.1	XP_013247126.1	*	*
2	2	1	*	XP_013432578.1	XP_013247100.1	*	*
2	2	1	*	XP_013433662.1	XP_013247096.1	*	*
2	2	1	*	XP_013435433.1	XP_013247088.1	*	*
2	2	1	*	XP_013433408.1	XP_013247064.1	*	*
2	2	1	*	XP_013439267.1	XP_013247155.1	*	*
2	2	1	*	XP_013434768.1	XP_013247013.1	*	*
2	2	1	*	XP_013434685.1	XP_013247008.1	*	*
2	2	1	*	XP_013440632.1	XP_013246992.1	*	*
2	2	1	*	XP_013437558.1	XP_013246986.1	*	*
2	2	1	*	XP_013436642.1	XP_013246976.1	*	*
2	2	1	*	XP_013438083.1	XP_013246961.1	*	*
2	2	1	*	XP_013434287.1	XP_013246952.1	*	*
2	2	1	*	XP_013434286.1	XP_013246951.1	*	*
2	2	1	*	XP_013436193.1	XP_013247326.1	*	*
2	2	1	*	XP_013436753.1	XP_013247449.1	*	*
2	2	1	*	XP_013432774.1	XP_013247423.1	*	*
2	2	1	*	XP_013432773.1	XP_013247422.1	*	*
2	2	1	*	XP_013435097.1	XP_013247384.1	*	*
2	2	1	*	XP_013435096.1	XP_013247383.1	*	*
2	2	1	*	XP_013435095.1	XP_013247382.1	*	*
2	2	1	*	XP_013432677.1	XP_013247367.1	*	*
2	2	1	*	XP_013441020.1	XP_013247330.1	*	*
2	2	1	*	XP_013432484.1	XP_013246939.1	*	*
2	2	1	*	XP_013435802.1	XP_013247304.1	*	*
2	2	1	*	XP_013437106.1	XP_013247284.1	*	*
2	2	1	*	XP_013436743.1	XP_013247272.1	*	*
2	2	1	*	XP_013436885.1	XP_013247267.1	*	*
2	2	1	*	XP_013433660.1	XP_013247242.1	*	*
2	2	1	*	XP_013437517.1	XP_013247208.1	*	*
2	2	1	*	XP_013440777.1	XP_013247198.1	*	*
2	2	1	*	XP_013439681.1	XP_013247185.1	*	*
2	2	1	*	XP_013435759.1	XP_013246659.1	*	*
2	2	1	*	XP_013439746.1	XP_013246742.1	*	*
2	2	1	*	XP_013432875.1	XP_013246710.1	*	*
2	2	1	*	XP_013432711.1	XP_013246709.1	*	*
2	2	1	*	XP_013436099.1	XP_013246703.1	*	*
2	2	1	*	XP_013438919.1	XP_013246693.1	*	*
2	2	1	*	XP_013438244.1	XP_013246672.1	*	*
2	2	1	*	XP_013433429.1	XP_013246671.1	*	*
2	2	1	*	XP_013433714.1	XP_013246666.1	*	*
2	2	1	*	XP_013437243.1	XP_013246744.1	*	*
2	2	1	*	XP_013433122.1	XP_013246621.1	*	*
2	2	1	*	XP_013435521.1	XP_013246604.1	*	*
2	2	1	*	XP_013432559.1	XP_013246566.1	*	*
2	2	1	*	XP_013435336.1	XP_013246562.1	*	*
2	2	1	*	XP_013437513.1	XP_013246559.1	*	*
2	2	1	*	XP_013434550.1	XP_013246555.1	*	*
2	2	1	*	XP_013435129.1	XP_013246541.1	*	*
2	2	1	*	XP_013440987.1	XP_013246537.1	*	*
2	2	1	*	XP_013439175.1	XP_013246845.1	*	*
2	2	1	*	XP_013432485.1	XP_013246938.1	*	*
2	2	1	*	XP_013434101.1	XP_013246899.1	*	*
2	2	1	*	XP_013433155.1	XP_013246898.1	*	*
2	2	1	*	XP_013432979.1	XP_013246892.1	*	*
2	2	1	*	XP_013434365.1	XP_013246887.1	*	*
2	2	1	*	XP_013434646.1	XP_013246876.1	*	*
2	2	1	*	XP_013432515.1	XP_013246861.1	*	*
2	2	1	*	XP_013434208.1	XP_013246854.1	*	*
2	2	1	*	XP_013432517.1	XP_013247470.1	*	*
2	2	1	*	XP_013435652.1	XP_013246832.1	*	*
2	2	1	*	XP_013434770.1	XP_013246817.1	*	*
2	2	1	*	XP_013432870.1	XP_013246810.1	*	*
2	2	1	*	XP_013432872.1	XP_013246808.1	*	*
2	2	1	*	XP_013437072.1	XP_013246773.1	*	*
2	2	1	*	XP_013433584.1	XP_013246756.1	*	*
2	2	1	*	XP_013437141.1	XP_013246746.1	*	*
2	2	1	*	XP_013440147.1	XP_013248254.1	*	*
2	2	1	*	XP_013433574.1	XP_013248461.1	*	*
2	2	1	*	XP_013434253.1	XP_013248438.1	*	*
2	2	1	*	XP_013435271.1	XP_013248404.1	*	*
2	2	1	*	XP_013433959.1	XP_013248325.1	*	*
2	2	1	*	XP_013438545.1	XP_013248315.1	*	*
2	2	1	*	XP_013440378.1	XP_013248291.1	*	*
